Fen,Move
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,g7g6
rnbqkbnr/pppppp1p/6p1/8/3PP3/8/PPP2PPP/RNBQKBNR,f8g7
rnbqkbnr/pppppp1p/6p1/8/2PP4/8/PP2PPPP/RNBQKBNR,f8g7
rnbqkbnr/pppppp1p/6p1/8/3P4/2N5/PPP1PPPP/R1BQKBNR,f8g7
rnbqkbnr/pppppp1p/6p1/8/3P4/5N2/PPP1PPPP/RNBQKB1R,f8g7
rnbqkbnr/pppppp1p/6p1/8/3P4/4P3/PPP2PPP/RNBQKBNR,f8g7
rnbqkbnr/pppppp1p/6p1/8/3P4/2P5/PP2PPPP/RNBQKBNR,f8g7
rnbqk1nr/ppppppbp/6p1/8/3PP3/2P5/PP3PPP/RNBQKBNR,d7d6
rnbqk1nr/ppppppbp/6p1/8/2PP4/8/PP2PPPP/RNBQKBNR,d7d6
rnbqk1nr/ppppppbp/6p1/8/3P4/2P2N2/PP2PPPP/RNBQKB1R,d7d6
rnbqk1nr/ppppppbp/6p1/8/3P4/2P5/PP1NPPPP/R1BQKBNR,d7d6
rnbqk1nr/ppp1ppbp/3p2p1/8/3P4/2P1P3/PP3PPP/RNBQKBNR,d7d6
rnbqk1nr/ppppppbp/6p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR,d7d6
rnbqk1nr/ppppppbp/6p1/8/2PP4/5N2/PP2PPPP/RNBQKB1R,d7d6
rnbqk1nr/ppppppbp/6p1/8/2PPP3/8/PP3PPP/RNBQKBNR,d7d6
rnbqk1nr/ppppppbp/6p1/8/2PP4/4P3/PP3PPP/RNBQKBNR,d7d6
rnbqk1nr/ppppppbp/6p1/8/2PP1B2/8/PP2PPPP/RN1QKBNR,d7d6